-1.93970, -1.21396, -0.82251, 2.80920, 0.23248, -0.46695, 0.93456, 1.44613, 
0.37819, 1.83830, -1.43922, -0.60536, -1.49274, -1.07081, -1.85132, 1.81249,    
2.52656, 0.15039, 0.93129, 0.65393, 0.92120, 1.89965, 1.49491, 0.64429

-1.58340, -1.73262, 2.43990, 2.74689, -0.03100, 1.97219, 1.99972, -0.74278, 
2.61671, -2.04601, 2.87895, -0.46450, -2.28491, 0.00824, 1.25602, 2.34927,      
2.59831, -2.61083, 1.15916, -1.60639, -2.44785, 1.68894, 0.61344, -2.69167,     
-1.68431, 2.70324, -1.00871, -0.95530, -2.04766, 2.55451, -0.67726, 0.07503,    
0.19926, -1.02573, -2.00035, -2.88747, 2.48421, 2.17255, 0.34842, -0.11967,     
-1.64906, -1.47562, 1.97196, 2.90623, 1.94570, 1.81839, -2.42203, 1.05832,      
0.23621, 1.97983, 0.49093, -2.85807, -2.11464, -0.35762, -1.62585, -2.78479,    
2.92935, 2.27045, -0.22815, 2.80079, 1.55551, 1.86413, 0.43067, 1.01962

0.05196, 0.61856, 0.78204, -2.26577, 1.77910, -1.90936, 1.74246, 0.03478, 
2.94674, 1.04985, 0.03102, 0.74931, 0.95617, 2.76113, -1.14279, -1.96638,       
0.73976, 0.95502, -2.81980, 0.90637, -1.32279, -1.68657, -0.67513, -1.41578,    
-2.96482, -1.56518, 0.96415, 1.11539, -2.09651, 2.91043, 2.67580, -0.49029,     
0.10467, 0.70185, -2.81552, -1.82367, 0.76202, 2.90123, 1.39301, 1.67466,       
-1.01571, -1.69115, 0.04728, 1.78229, -0.32130, 0.52902, 0.74360, -2.96633,     
2.28288, 1.91912, 2.75985, 0.93434, 2.78175, -1.83400, -2.63528, -2.08944,      
2.46232, -0.37791, 1.05204, 2.77190, -2.12303, -2.84380, -0.41338, 1.85500

2.71928, 1.19694, -1.65313, 2.99167, 1.63461, -2.26802, -0.43968, -0.42772, 
0.72579, 2.02563, 2.37106, -1.32959, 1.38994, -0.89958, -2.65878, 2.28101,      
-0.43938, 2.99843, -2.63494, 0.08294, 0.59208, 1.99791, -1.81344, 0.70671,      
-1.63979, -2.55757, 0.38257, 2.67654, -1.59540, -1.06130, 0.16767, 0.04578,     
-0.02720, 0.85849, 2.35712, 0.23156, -0.84039, -1.94176, -0.95250, -1.02039,    
-1.58743, 2.30923, 1.21386, -2.61031, 1.24110, 0.53454, -2.72949, 2.84930,      
0.83015, 1.13434, 0.89854, -0.12439, 0.95392, -1.30324, 2.83166, -1.96170,      
0.12790, -0.15497, -0.03185, -1.50828, 0.21950, -2.46930, -0.22666, -1.37642

2.60820, 1.89443, -2.30806, -2.09357, -2.43060, 1.04498, -1.52106, 2.71780, 
-0.24682, 1.84839, 0.78732, -1.62847, -2.73520, 2.96885, 1.41140, 0.29742,      
2.03510, -2.95627, -1.92945, 0.20784, -0.20022, 0.56276, 1.48915, 2.17433,      
1.03391, -0.38513, 2.03678, -0.68628, -2.90293, -2.98764, -1.57098, 0.13831,    
0.43584, 2.45805, -0.43297, -0.23748, -2.41512, -0.42635, 0.22748, -1.48730,    
1.17724, 0.02674, -2.75050, 0.41960, 2.74251, 0.77158, -1.60721, -2.35399,      
2.64824, -0.78098, -0.18051, -0.87443, -2.80547, 1.75872, 2.92371, 0.68311,     
2.27014, -2.60481, -1.12902, -2.88976, 0.96443, -1.31469, 0.30673, 1.63587

-0.73766, 2.24981, -0.46035, -2.13092, 1.91843, 1.23761, 2.48705, -2.69934, 
0.03220, 1.16379, 0.76360, 0.45379, 2.81544, -0.41939, -0.23145, -2.94193,      
-1.81467, -1.94112, 2.82411, 2.40911, -2.47199, 2.68599, 0.30986, 2.71994,      
-1.72414, -2.75452, -2.12229, -0.60841, 1.41309, 1.14065, 2.09019, -2.65026,    
-1.03954, -1.44313, -2.86859, 1.99729, 2.32804, 2.56937, 2.33976, 1.82027,      
1.16470, -0.22894, 2.49558, 1.31751, 0.47708, 1.52492, -0.26655, 1.02015,       
0.94347, -0.38807, 2.23698, -1.85977, -1.01239, 0.26138, -1.46441, -0.44426,    
-2.47041, 2.69989, -0.79290, -1.74993, 0.19389, 1.08656, 1.51347, 2.58118

2.18831, -2.46855, 1.94165, -0.73624, -0.87566, -1.25589, -0.08441, -2.15842, 
-2.89214, -2.72195, -2.70122, 1.50096, -1.59613, 0.69106, -0.16852, 1.76220,    
-1.51192, 0.32983, 1.16548, 0.86427, -2.14364, 2.42075, -1.55918, -2.30588,     
0.15814, -2.40304, 0.50407, -2.44950, 1.80597, -1.16873, 0.52507, -1.36822,     
0.51732, 2.61261, 1.58960, -0.00347, 1.86614, -2.01937, -2.67737, 2.31471,      
-2.76997, 1.29954, 2.11263, -1.13362, 1.74900, 2.43000, 0.49425, -0.39571,      
-2.39157, -0.07608, -2.44331, -0.59030, -2.81538, 1.50162, 1.56063, -0.10692,   
0.14113, -1.38855, 1.49557, -2.68714, 1.13205, -2.86104, 1.59326, -1.47368

-1.02185, 0.42231, 2.54090, -0.97365, -2.61936, -2.73814, -0.69712, -2.03959, 
2.21381, -0.94645, 2.50712, -0.46045, 2.73909, -2.07861, -1.41784, -2.26531,    
1.88045, -1.55712, -2.83594, -1.46238, 0.09643, 2.94236, -1.22118, 1.61865,     
2.30614, -0.31439, -0.62369, -0.37441, 1.71512, -0.47298, 0.58718, -0.67461,    
1.11367, 2.75595, -0.62190, -0.10557, -1.34104, -0.84846, 1.07361, -2.89882,    
-1.90025, 2.73504, 2.62089, -1.66420, 0.68950, -1.84280, -2.17889, 1.28648,     
-1.86781, 0.32106, 0.98528, 1.67339, 2.61557, 1.12031, -1.21870, -1.83517,      
-0.53832, 0.08809, -0.16362, 1.29800, -2.98561, 1.93356, -0.84729, 0.73078

1.44951, -2.61011, -2.88440, -1.28702, -0.70616, -2.81209, 1.73780, 2.42083, 
-0.10830, -0.96948, 2.39847, -0.72868, -0.13184, -0.28878, 0.08537, 1.22035,    
-2.71661, 2.07188, -0.40005, -2.22417, 2.62411, 1.88026, 1.42236, 0.79956,      
-1.58107, -0.75772, 0.68072, 1.94719, 0.71492, -1.03770, 2.19832, -2.80827,     
-1.67461, 1.19920, 2.67987, -0.57385, -0.27356, 1.57954, 2.76945, -0.19919,     
2.02250, 2.03941, 2.27104, -0.47366, 1.77743, -1.66750, 0.61168, -2.78687,      
2.80679, -1.89115, 0.17401, 1.04360, 2.30699, 1.00921, 2.84726, 1.16171,        
0.82403, 2.81756, -2.56125, 2.89912, 2.92594, -0.02713, 0.69122, 1.95945

0.09463, -0.23072, -2.09312, -2.58075, 2.45155, 2.99229, 2.55794, -2.26353, 
-0.43281, 1.90334, 2.91442, -0.99836, -1.79729, -0.75254, 1.94036, -1.22592,    
-2.17441, 1.74484, 2.24163, -0.92297, -0.64841, -1.84535, -1.96602, -2.77805,   
0.20097, -2.97283, 2.60036, -2.57628, -2.63428, 1.65833, -0.86096, 2.52733,     
-1.56946, 0.56934, -0.93488, -0.06126, 2.56365, -2.00068, 2.00974, 2.95203,     
1.92409, -0.91983, -2.46472, -1.43295, -1.69050, -1.99990, 2.23022, 0.21975,    
1.03882, 1.62057, 0.30004, -0.21005, 1.33904, -0.81551, -0.31579, -2.91852,     
-0.34861, 2.85298, -2.59848, -1.36890, 0.99981, 2.78155, -1.56095, 1.86163

-2.92059, 2.55380, -2.95332, -1.79652, 0.87546, 0.00355, 0.58610, -0.74747, 
2.41774, 2.64213, -2.69003, 1.28028, 2.17967, 1.00479, -2.48417, -2.51623,      
-1.42237, 1.74430, 2.51387, -1.77417, -1.47227, -1.86808, -0.08507, 1.42694,    
-0.43092, 2.30831, 2.31955, 0.72957, 2.43630, 2.85231, -2.86737, 1.37916,       
-0.34268, -2.28180, 2.60020, 0.39638, 2.58332, 0.99531, 0.01625, -2.17617,      
2.20414, 2.29092, -2.82090, 1.98599, -1.18227, -0.11030, 0.50515, -0.65520,     
-2.43232, 0.97567, -1.44200, -1.28349, -1.64182, 2.15374, -0.78036, 2.74293,    
2.17629, -1.85037, -2.39489, 2.94722, -1.43360, 0.18323, -0.43003, 1.87142

-2.97298, -2.04907, -2.95223, -0.16675, -0.57744, 1.78537, -1.47357, -0.16031, 
-0.12740, 0.02790, -2.47664, -0.75422, -1.74549, -2.89833, 2.67304, 1.05228,    
-1.13311, 0.85521, 2.01584, -0.76105, -1.42846, 0.98529, -0.04543, 0.07808,     
1.10253, 2.28373, -1.75775, -2.32822, 2.23236, -1.96505, -0.59861, 2.54603,     
0.25918, -2.99993, -1.85457, 0.43296, -0.53476, -2.00915, 1.66760, -1.21643,    
-1.98407, 1.44633, -2.87476, 1.70324, 0.53323, 0.81646, -0.28730, 2.23501,      
1.68933, -0.22349, -2.44740, -0.00400, -2.01993, -1.22358, -1.94745, 0.14937,
0.48136, -1.70613, 1.45703, -1.08547, 0.71118, 1.02967, -1.33746, 0.24030

-1.15170, 0.22950, -2.65282, 0.95654, 2.44720, -2.36835, -2.64948, -0.76049,
0.17225, -2.51105, -2.46109, -0.77272, -1.94723, 1.64319, 1.18415, -0.10657,
1.57763, 2.24005, 2.86903, 2.72347, 1.86604, 0.69831, -2.09591, -2.57505,
0.10885, -0.13034, 1.21852, -2.99153, 0.19916, 1.51068, -1.72822, -1.48068,
-2.05448, -2.33766, 0.93994, 2.56152, -1.74386, 2.82483, 0.36981, -2.49623,
-0.76189, 2.79549, -0.82998, 2.50444, -1.72403, 2.12185, 1.30436, 2.73984,
1.10641, -2.62772, 0.81325, 1.54640, -2.17266, 2.84142, 0.30787, 1.06737,
2.27105, 2.22431, 0.36000, -2.45540, 2.87583, 2.55350, 2.72893, 1.85467
